US-Mexico Border;08/04/2020;0;0;1;0;Presumed drowning;Rio Bravo, Nuevo Laredo, Tamaulipas, Mexico;27.499560110910, -99.529145296143;https://archive.ph/MxbRb
Central America;05/04/2020;0;0;1;0;Accident (fell from train);San Lorenzo Soltepec, Tlaxcala, Mexico;19.604444400000, -98.311944400000;https://archive.ph/93ZaE
US-Mexico Border;05/04/2020;0;0;1;0;Presumed drowning;Rio Bravo, Eagle Pass, Maverick County, Texas, USA;28.711778048640, -100.507718230750;https://archive.ph/Nx54L
Central America;05/04/2020;0;0;1;0;Run over by train;Ixtepec, Oaxaca, Mexico;16.561126700000, -95.096314100000;https://archive.ph/zpj1a
US-Mexico Border;05/04/2020;0;0;1;0;Drowning;Las Cruces, Piedras Negras, Coahuila, Mexico;28.709460903906, -100.510735628340;https://archive.ph/3JNKz
Mediterranean;01/04/2020;0;0;0;0;Presumed drowning;Remains recovered on Al Maya Shore, Zawiyah, Libya;32.792615604333, 12.733749617969;
US-Mexico Border;01/04/2020;0;0;1;0;Presumed drowning;Rio Bravo, Matamoros, Tamaulipas, Mexico;25.880791109659, -97.492593473294;https://archive.vn/tzPjt
South America;30/03/2020;0;1;2;0;Murdered;Brisas del Hon Kong, Puerto Asís, Putumayo, Colombia;0.498509700000, -76.497742800000;https://archive.ph/qLyNN
Mediterranean;30/03/2020;0;0;0;0;Drowning;4km north of Plage idi Medjdoub, Kharouba, province of Mostaganem, Algeria;35.980307792028, 0.053532635693;https://archive.ph/u4Plj
North Africa;27/03/2020;21;1;0;0;Presumed drowning;17 nautical miles west off of Dakhla, Morocco;27.886158765535, -13.596987620312;https://archive.vn/8XoSf
US-Mexico Border;25/03/2020;0;0;0;0;Unknown (skeletal remains);Comanche Ranch, Maverick County, Texas, USA;28.697183000000, -100.398082400000;https://bit.ly/2QQAPBk
US-Mexico Border;25/03/2020;0;0;0;0;Presumed drowning;In a canal next to Cougar Park, El Paso, Texas, USA;31.642268303630, -106.301859960850;https://bit.ly/2X0YqmR
Sub-Saharan Africa;24/03/2020;0;0;64;0;Asphyxiation;Inside truck at the Mussacana weight bridge in Tete, Mozambique, travelling from Malawi;-16.132810400000, 33.606385500000;
US-Mexico Border;23/03/2020;0;0;1;0;Presumed drowning;Río Bravo, Reynosa Díaz, Tamaulipas, Mexico;26.216274548847, -98.455532892590;https://bit.ly/2QGVkQU
Central America;21/03/2020;0;0;1;0;Accident (fell from the roof of a train and was run over by it);Acultzingo, Veracruz, Mexico;18.715656300000, -97.307765900000;https://bit.ly/3dmjnyf
US-Mexico Border;20/03/2020;0;0;1;0;Unknown;Cuevitas, Texas, USA;26.258771200000, -98.576222400000;https://bit.ly/3abmSWk
US-Mexico Border;20/03/2020;0;0;1;0;Presumed drowning;Rio Bravo, Eagle Pass, Maverick County, Texas, USA;28.710724157147, -100.508104468850;https://archive.ph/2qFnA
US-Mexico Border;19/03/2020;0;0;1;0;Presumed drowning;Río Bravo, Nuevo Laredo, Tamaulipas, Mexico;27.502148604333, -99.528630312012;https://bit.ly/3dwCcid
US-Mexico Border;18/03/2020;1;0;0;0;Pressumed drowning;In a canal close to the Zaragoza international bridge, El Paso, Texas, USA;31.671592141195, -106.336887510060;https://archive.ph/hFuTm
US-Mexico Border;17/03/2020;0;0;1;0;Presumed drowning;Río Bravo, Nuevo Laredo, Tamaulipas, Mexico;27.504401812255, -99.528887804077;https://bit.ly/2UCYar4
Southeast Asia;14/03/2020;0;2;0;0;Vehicle Accident;Nikhom Phatthana, Rayong, Thailand;12.829911400000, 101.204333300000;https://bit.ly/3aYbyfW
US-Mexico Border;14/03/2020;0;0;1;0;Presumed drowning;Piedras Negras, Coahuila, Mexico (near international bridge #2);28.704906410021, -100.512366411430;https://bit.ly/2UbAH1d
Mediterranean;12/03/2020;5;2;0;1;Drowning;Off the coast of Larache, Morocco;35.189860435378, -6.173145606543;https://archive.ph/gB4Vs
US-Mexico Border;10/03/2020;0;1;0;0;Accident (fell down while climbing border wall);El Paso, El paso County, Texas, USA;31.761877800000, -106.485021700000;https://bit.ly/33b78ji
Mediterranean;10/03/2020;15;0;0;0;Presumed drowning;Off the coast of El Haouaria, Nabeul, Tunisia;36.433337091781, 10.743388161963;https://bit.ly/2xlsUVy
Europe;08/03/2020;0;0;0;0;Presumed drowning;Evros/Meriç river, near Feres, Greece;40.904620957060, 26.255972451953;https://archive.ph/pZZd2
